i,Pref[i],Char[i],Used[i]
1339,1336,112,4
1340,526,32,1
1341,846,32,5
1342,727,97,11
1343,456,46,2
1344,265,79,5
1345,816,44,2
1346,963,108,2
1347,712,116,6
1348,836,102,5
1349,838,111,10
1350,1262,103,2
1351,829,107,1
1352,831,32,2
1353,887,111,6
1354,449,39,5
1355,935,32,7
1356,35,107,10
1357,110,110,2
1358,488,119,4
1359,122,13,1
1360,1193,110,3
1361,292,32,27
1362,1356,105,3
1363,1169,32,1
1364,1162,98,1
1365,1254,114,5
1366,840,114,1
1367,282,109,10
1368,591,97,4
1369,320,111,6
1370,1025,104,5
1371,892,46,3
1372,296,101,2
1373,289,101,6
1374,104,39,3
1375,885,32,2
1376,35,108,16
1377,786,116,2
1378,614,108,9
1379,543,99,1
1380,572,97,4
1381,547,111,1
1382,948,119,4
1383,1078,97,9
1384,456,115,3
1385,417,104,12
1386,1257,111,1
1387,979,44,2
1388,1283,116,3
1389,1061,97,5
1390,714,44,1
1391,1199,116,3
1392,1278,120,1
1393,123,112,5
1394,491,110,5
1395,450,105,2
1396,1252,46,1
1397,678,10,37
1398,13,32,49
1399,800,32,179
1400,611,79,1
1401,82,79,5
1402,82,68,7
1403,71,32,33
1404,1399,32,168
1405,772,66,2
1406,69,65,4
1407,386,32,3
1408,1404,87,1
1409,90,79,9
1410,82,82,19
1411,767,72,2
1412,75,32,14
1413,775,69,34
1414,777,36,2
1415,39,32,1
1416,800,78,1
1417,81,79,23
1418,82,84,10
1419,87,32,55
1420,651,79,3
1421,1410,84,1
1422,87,72,72
1423,1412,84,2
1424,1422,69,47
1425,1414,13,1
1426,799,32,76
1427,691,10,24
1428,1398,32,45
1429,800,45,2
1430,48,45,87
1431,1430,45,72
1432,48,32,10
1433,1404,32,146
1434,771,45,2
1435,1431,32,1
1436,1404,45,1
1437,1431,45,68
1438,1437,45,65
1439,1437,32,1
1440,1429,45,1
1441,1438,45,61
1442,1441,45,57
1443,1431,13,1
1444,1426,32,68
1445,749,77,2
1446,80,73,10
1447,76,76,12
1448,859,69,3
1449,72,82,34
1450,85,32,16
1451,800,77,1
1452,80,105,9
1453,520,116,5
1454,1275,66,4
1455,69,114,2
1456,1039,117,2
1457,821,32,1
1458,750,97,1
1459,316,112,1
1460,1124,40,2
1461,43,36,1
1462,39,50,2
1463,53,56,4
1464,59,99,1
1465,1135,115,3
1466,424,41,1
1467,697,32,9
1468,668,72,23
1469,75,105,2
1470,787,121,1
1471,124,107,1
1472,844,40,1
1473,43,111,4
1474,114,118,15
1475,1128,97,1
1476,1249,100,7
1477,103,41,3
1478,435,10,31
1479,1428,32,43
1480,1405,117,1
1481,120,100,6
1482,103,40,1
1483,1473,107,1
1484,110,41,1
1485,1467,32,5
1486,749,66,1
1487,69,108,6
1488,402,99,14
1489,1203,76,1
1490,1303,98,1
1491,1062,108,2
1492,304,32,7
1493,1445,111,1
1494,562,115,1
1495,794,32,1
1496,611,111,1
1497,562,100,7
1498,465,110,3
1499,1056,32,3
1500,749,83,2
1501,86,116,5
1502,1205,104,1
1503,107,115,1
1504,646,13,4
1505,1426,67,1
1506,448,111,2
1507,503,115,3
1508,118,40,1
1509,43,119,5
1510,1107,115,2
1511,375,41,1
1512,1467,79,1
1513,82,108,1
1514,111,100,12
1515,446,77,5
1516,1452,108,1
1517,346,97,1
1518,345,107,1
1519,276,101,6
1520,277,32,13
1521,771,77,1
1522,1452,99,1
1523,572,101,7
1524,425,111,3
1525,1196,32,2
1526,1433,71,1
1527,74,114,2
1528,290,122,1
1529,433,108,1
1530,286,40,1
1531,1509,97,1
1532,1173,111,1
1533,1474,101,13
1534,289,97,5
1535,1476,41,1
1536,1478,32,4
1537,800,66,1
1538,379,115,1
1539,118,99,21
1540,572,40,1
1541,43,108,3
